canonical_id,name,pathway,carbon_substrates,carbon_products,reversible,symmetry,validation_status,primary_source,source_identifier,aliases,tests
glycolysis.hexokinase,hexokinase carbon skeleton transition,glycolysis,glucose,glucose_6_phosphate,false,none,curated,FluxEMU antoniewicz_tca_glucose frozen synthetic glycolysis,HEX,HEX,tests/test_carbon_transitions.py
glycolysis.phosphofructokinase,phosphofructokinase carbon skeleton transition,glycolysis,fructose_6_phosphate,fructose_1_6_bisphosphate,false,none,curated,FluxEMU antoniewicz_tca_glucose frozen synthetic glycolysis,PFK,PFK,tests/test_carbon_transitions.py
glycolysis.phosphoglucose_isomerase,phosphoglucose isomerase,glycolysis,glucose_6_phosphate,fructose_6_phosphate,true,none,curated,FluxEMU antoniewicz_tca_glucose frozen synthetic glycolysis,PGI,PGI,tests/test_carbon_transitions.py
glycolysis.pyruvate_kinase,pyruvate kinase carbon skeleton transition,glycolysis,phosphoenolpyruvate,pyruvate,false,none,curated,FluxEMU antoniewicz_tca_glucose frozen synthetic glycolysis,PYK,PYK,tests/test_carbon_transitions.py
glycolysis.triose_phosphate_isomerase,triose-phosphate isomerase,glycolysis,dihydroxyacetone_phosphate,glyceraldehyde_3_phosphate,true,none,curated,FluxEMU antoniewicz_tca_glucose frozen synthetic glycolysis,TPI,TPI,tests/test_carbon_transitions.py
malate_aspartate.alanine_aminotransferase,alanine aminotransferase carbon skeleton transition,glutamine / glutamate / alpha-ketoglutarate entry,alanine+alpha_ketoglutarate,pyruvate+glutamate,true,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r58_gpt_m plus r50_gludh,ALATA_L,tests/test_carbon_transitions.py
malate_aspartate.aspartate_aminotransferase,aspartate aminotransferase carbon skeleton transition,malate-aspartate shuttle carbon reactions,oxaloacetate+glutamate,aspartate+alpha_ketoglutarate,true,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r54_asp plus r49_gludh,ASPTA,tests/test_carbon_transitions.py
ppp.6phosphogluconate_dehydrogenase,6-phosphogluconate dehydrogenase,pentose phosphate pathway,phosphogluconate_6,ribulose_5_phosphate+carbon_dioxide,false,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r30_pgd,GND,tests/test_carbon_transitions.py
ppp.oxidative_g6p_to_6pg_net,oxidative pentose-phosphate G6P to 6-phosphogluconate net transition,pentose phosphate pathway,glucose_6_phosphate,phosphogluconate_6,false,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r29_g6pdh,,tests/test_carbon_transitions.py
ppp.ribulose5p_epimerase,ribulose-5-phosphate 3-epimerase,pentose phosphate pathway,ribulose_5_phosphate,xylulose_5_phosphate,true,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r33_rbe,RPE,tests/test_carbon_transitions.py
ppp.ribulose5p_isomerase,ribose-5-phosphate isomerase,pentose phosphate pathway,ribulose_5_phosphate,ribose_5_phosphate,true,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r31_ri,RPI,tests/test_carbon_transitions.py
ppp.transaldolase_s7p_gap,transaldolase: sedoheptulose-7-phosphate + glyceraldehyde-3-phosphate,pentose phosphate pathway,glyceraldehyde_3_phosphate+sedoheptulose_7_phosphate,fructose_6_phosphate+erythrose_4_phosphate,true,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r37_tal,TALA,tests/test_carbon_transitions.py
ppp.transketolase_e4p_x5p,transketolase: erythrose-4-phosphate + xylulose-5-phosphate,pentose phosphate pathway,erythrose_4_phosphate+xylulose_5_phosphate,fructose_6_phosphate+glyceraldehyde_3_phosphate,true,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r39_tkt,TKT2,tests/test_carbon_transitions.py
ppp.transketolase_r5p_x5p,transketolase: ribose-5-phosphate + xylulose-5-phosphate,pentose phosphate pathway,ribose_5_phosphate+xylulose_5_phosphate,sedoheptulose_7_phosphate+glyceraldehyde_3_phosphate,true,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r35_tkt,TKT1,tests/test_carbon_transitions.py
pyruvate.lactate_dehydrogenase,lactate dehydrogenase carbon skeleton transition,lactate / pyruvate,pyruvate,lactate,true,none,curated,FluxEMU antoniewicz_tca_glucose frozen synthetic glycolysis,LDH,LDH;LDH_D,tests/test_carbon_transitions.py
pyruvate.pyruvate_dehydrogenase,pyruvate dehydrogenase carbon transition,lactate / pyruvate,pyruvate,acetyl_coa+carbon_dioxide,false,none,curated,FluxEMU antoniewicz_tca_glucose frozen synthetic glycolysis,PDH,PDH,tests/test_carbon_transitions.py
serine_glycine.3pg_to_serine,3-phosphoglycerate to serine carbon skeleton entry,serine / glycine central-carbon entry,phosphoglycerate_3,serine,false,none,curated,mfapy 0.6.3 Example_2 E. coli model,r67,,tests/test_carbon_transitions.py
serine_glycine.serine_hydroxymethyltransferase,serine hydroxymethyltransferase carbon transition,serine / glycine central-carbon entry,serine,glycine+methylenetetrahydrofolate,true,none,curated,mfapy 0.6.3 Example_2 E. coli model,r68/r69,GHMT2r,tests/test_carbon_transitions.py
tca.fumarate_hydratase,fumarate hydratase,TCA cycle,fumarate,malate,true,Fumarate has equal symmetric orientations; mfapy uses the metabolite symmetry flag.,curated,"mfapy 0.6.3 Example_3 MCF7 model, Fum -> Mal",r23_fh,FUM,tests/test_carbon_transitions.py
tca.malate_dehydrogenase,malate dehydrogenase carbon skeleton transition,TCA cycle,malate,oxaloacetate,true,none,curated,"mfapy 0.6.3 Example_3 MCF7 model, Mal -> Oxa",r25_mdh,MDH,tests/test_carbon_transitions.py
transport.citrate.identity,citrate transport (carbon identity),citrate export / ATP-citrate lyase,citrate,citrate,true,none,curated,FluxEMU V1 transport convention,transport-identity,CITt,tests/test_carbon_transitions.py
transport.glucose.identity,glucose transport (carbon identity),glycolysis,glucose,glucose,true,none,curated,FluxEMU antoniewicz_tca_glucose frozen synthetic glycolysis,GLC_IN,GLC_IN,tests/test_carbon_transitions.py
transport.malate.identity,malate transport (carbon identity),malate-aspartate shuttle carbon reactions,malate,malate,true,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r104_MAL_ex/r105_MAL_ex,MALt2_2;MALT,tests/test_carbon_transitions.py
